类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
Z04010201,轿车,,巨潮行业分类标准,008002,Car Manufacturers,Z040102,4
Z04010202,商用车,,巨潮行业分类标准,008002,Commercial Vehicle Manufacturers,Z040102,4
Z04010203,摩托车,,巨潮行业分类标准,008002,Motorcycles Manufacturers,Z040102,4
Z0402,耐用消费品,,巨潮行业分类标准,008002,Consumer Durables,Z04,2
Z040201,家用电器,,巨潮行业分类标准,008002,Household Appliances,Z0402,3
Z04020101,视听器材,,巨潮行业分类标准,008002,Audio-visual Equipment,Z040201,4
Z04020102,白色家电,,巨潮行业分类标准,008002,White Goods,Z040201,4
Z04020103,小家电,,巨潮行业分类标准,008002,Small Appliances,Z040201,4
Z04020104,照明电器及其他,,巨潮行业分类标准,008002,Lighting and other Electrical Appliances,Z040201,4
Z040202,耐用家居用品,,巨潮行业分类标准,008002,Durable Household Products,Z0402,3
Z04020201,家用器具与特殊消费品,,巨潮行业分类标准,008002,Housewares and Specialties,Z040202,4
Z04020202,家庭装饰品,,巨潮行业分类标准,008002,Home Furnishings,Z040202,4
Z040203,休闲设备与用品,,巨潮行业分类标准,008002,Leisure Equipment and Products,Z0402,3
Z04020301,休闲设备与用品,,巨潮行业分类标准,008002,Leisure Equipment and Products,Z040203,4
Z0403,纺织服装与奢侈品,,巨潮行业分类标准,008002,"Textiles, Apparel and Luxury Goods",Z04,2
Z040301,服装与配饰,,巨潮行业分类标准,008002,Apparel and Accessories,Z0403,3
Z04030101,服装,,巨潮行业分类标准,008002,Clothing,Z040301,4
Z04030102,鞋类,,巨潮行业分类标准,008002,Footwear,Z040301,4
Z040302,纺织品,,巨潮行业分类标准,008002,Textiles,Z0403,3
Z04030201,棉纺,,巨潮行业分类标准,008002,Cotton Textiles,Z040302,4
Z04030202,毛纺,,巨潮行业分类标准,008002,Wool Textiles,Z040302,4
Z04030203,其他纺织品,,巨潮行业分类标准,008002,Other Textiles,Z040302,4
