类目编码,类目名称,终止日期,行业类型,行业类型编码,类目名称英文,父类编码,分级
C306,玻璃纤维和玻璃纤维增强塑料制品制造,,中国上市公司协会上市公司行业分类标准,008001,Glass Fiber and Glass Fiber Reinforced Plastic Products Manufacturing,C30,3
C307,陶瓷制品制造,,中国上市公司协会上市公司行业分类标准,008001,Ceramic Products Manufacturing,C30,3
C308,耐火材料制品制造,,中国上市公司协会上市公司行业分类标准,008001,Refractory Materials Products Manufacturing,C30,3
C309,石墨及其他非金属矿物制品制造,,中国上市公司协会上市公司行业分类标准,008001,Graphite and Other Nonmetal Mineral Products Manufacturing,C30,3
C31,黑色金属冶炼和压延加工业,,中国上市公司协会上市公司行业分类标准,008001,Ferrous Metal Smelting and Pressing,CF,2
C311,炼铁,,中国上市公司协会上市公司行业分类标准,008001,Ironmaking,C31,3
C312,炼钢,,中国上市公司协会上市公司行业分类标准,008001,Steelmaking,C31,3
C313,钢压延加工,,中国上市公司协会上市公司行业分类标准,008001,Steel Rolling Processing,C31,3
C314,铁合金冶炼,,中国上市公司协会上市公司行业分类标准,008001,Ferroalloy Smelting,C31,3
C32,有色金属冶炼和压延加工业,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metal Smelting and Pressing,CF,2
C321,常用有色金属冶炼,,中国上市公司协会上市公司行业分类标准,008001,Common Nonferrous Metal Smelting,C32,3
C322,贵金属冶炼,,中国上市公司协会上市公司行业分类标准,008001,Precious Metal Smelting,C32,3
C323,稀有稀土金属冶炼,,中国上市公司协会上市公司行业分类标准,008001,Rare Earth Metal Smelting,C32,3
C324,有色金属合金制造,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metal Alloys Manufacturing,C32,3
C325,有色金属压延加工,,中国上市公司协会上市公司行业分类标准,008001,Nonferrous Metal Pressing,C32,3
C33,金属制品业,,中国上市公司协会上市公司行业分类标准,008001,Metal Products,CF,2
C331,结构性金属制品制造,,中国上市公司协会上市公司行业分类标准,008001,Structural Metal Products Manufacturing,C33,3
C332,金属工具制造,,中国上市公司协会上市公司行业分类标准,008001,Metal Tools Manufacturing,C33,3
C333,集装箱及金属包装容器制造,,中国上市公司协会上市公司行业分类标准,008001,Container and Metal Packaging Container Manufacturing,C33,3
C334,金属丝绳及其制品制造,,中国上市公司协会上市公司行业分类标准,008001,Wire Rope and Related Products Manufacturing,C33,3
C335,建筑、安全用金属制品制造,,中国上市公司协会上市公司行业分类标准,008001,Construction and Safety-purposes Metal Products Manufacturing,C33,3
C336,金属表面处理及热处理加工,,中国上市公司协会上市公司行业分类标准,008001,Metal Surface Treatment and Heat Treatment Processing,C33,3
